$ python tools/pecensus.py TheWardrobe

path                                              fmt     kind      bytes     linker COFF (UTC)          mtime (local)       CompanyName / module
---------------------------------------------- ------ -------- ---------- ---------- ------------------- ------------------- ------------------------------
distinct COFF days: 16  2016-03-03, 2017-01-08, 2017-05-12, 2019-06-19, 2020-02-21, 2020-04-20, 2021-03-22, 2021-07-27, 2021-10-22, 2022-12-01, 2023-10-30, 2024-02-13, 2025-09-23, 2025-10-14, 2026-01-27, 2026-05-06

Authenticode: 90 of 161 PE files carry a certificate table
    SIGNED  D3D12/D3D12Core.dll
    SIGNED  MonoBleedingEdge/EmbedRuntime/MonoPosixHelper.dll
    SIGNED  MonoBleedingEdge/EmbedRuntime/mono-2.0-bdwgc.dll
    SIGNED  The Wardrobe_Data/Managed/System.IO.Hashing.dll
    SIGNED  The Wardrobe_Data/Managed/System.Runtime.CompilerServices.Unsafe.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AIModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AMDModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.ARModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AccessibilityModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AdaptivePerformanceModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AndroidJNIModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AnimationModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AssetBundleModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.AudioModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.ClothModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.ClusterInputModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.ClusterRendererModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.ContentLoadModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.CoreModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.CrashReportingModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.DSPGraphModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.DirectorModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.GIModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.GameCenterModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.GraphicsStateCollectionSerializerModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.GridModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.HierarchyCoreModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.HierarchyModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.HotReloadModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.IMGUIModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.IdentifiersModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.ImageConversionModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.InputForUIModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.InputLegacyModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.InputModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.InsightsModule.dll
    SIGNED  The Wardrobe_Data/Managed/UnityEngine.JSONSerializeModule.dll
